old_name,new_name,clements_match,broadened to,note
Acanthis sp.,Acanthis/Spinus sp.,FALSE,two genera,
Accipiter sp.,Aerospiza/Tachyspiza/Accipiter/Astur sp.,FALSE,four genera,
Accipitiridae sp.,Accipitridae,FALSE,family,no spuh
Accipitridae sp.,Accipitridae,TRUE,family,no spuh
Hawk sp.,Accipitridae sp. (hawk sp.),TRUE,family,
Accipitrid sp.,Accipitridae,TRUE,family,no spuh
Actitis sp.,Actitis hypoleucos/macularius,FALSE,two species,
Aechmophorus sp.,Aechmophorus occidentalis/clarkii,FALSE,two species,
Aethia sp.,Ptychoramphus/Aethia sp.,FALSE,two genera,
Aimophila sp.,Passerellidae sp.,FALSE,family,
Unid. Lark sp.,Alaudidae sp.,TRUE,family,
Alcid sp.,Alcidae sp.,TRUE,family,
Amazilia sp.,Trochilidae sp.,FALSE,family,
Ammodramus sp.,Passerellidae sp.,FALSE,family,
Waterfowl sp.,Anatidae sp.,TRUE,family,
Diving duck sp.,Anatidae sp.,TRUE,family,
Dabbling duck sp.,Anatidae sp. (dabbling duck sp.),TRUE,family,
Aythyinae sp.,Anatidae sp.,FALSE,family,
Anhinga sp.,Anhingidae,FALSE,family,no spuh
Anhingidae sp.,Anhingidae,TRUE,family,no spuh
Anous sp.,Sterninae sp.,FALSE,subfamily,
Goose sp.,Anatidae (goose sp.),FALSE,family,
Waterbird sp.,,,family,Not identifiable
Antidae sp.,Anatidae sp.,FALSE,family,
Aratinga sp.,Eupsittula/Aratinga/Thectocercus/Psittacara sp.,FALSE,four genera,
Archilochus sp.,Archilochus colubris/alexandri,FALSE,two species,
Heron sp.,Ardeidae sp.,TRUE,family,
Bubulcus sp.,Ardeidae sp.,TRUE,family,
Ardeitae sp.,Ardeidae sp.,TRUE,family,
Ardenna sp.,Procellariidae sp. (shearwater sp.),FALSE,family,
Arenaria sp.,Scolopacidae sp.,FALSE,family,
Arremenops sp.,Passerellidae sp.,FALSE,family,
Aythyini sp.,Anatidae sp.,FALSE,family,
Baeolophus sp.,Paridae sp.,FALSE,family,
Botaurinae sp.,Ardeidae sp.,FALSE,family,
Brachyramphus sp.,Brachyramphus/Synthliboramphus sp.,FALSE,two genera,
Calcariidae sp.,Calcariidae,TRUE,family,no spuh
Calcarius sp.,Calcarius/Rhynchophanes sp.,FALSE,two genera,
Stint sp.,Calidris sp.,FALSE,genus,
Callipepla sp.,Odontophoridae sp.,FALSE,family,
Caracara sp.,Falconidae,FALSE,family,
Cardeulis sp.,Fringillidae sp.,FALSE,family,
Cardinal sp.,Cardinalidae,TRUE,family,
Cardinalis sp.,Cardinalidae,FALSE,family,
Carduelis sp.,Fringillidae sp.,FALSE,family,
Centrocercus sp.,Tetraoninae sp.,FALSE,subfamily,
Cepphus sp.,Alcidae sp.,FALSE,family,
